Date,total_transaction_count,total_value_per_day,avg_value_per_transaction,total_gas_per_day,avg_gas_price_per_day,total_gas_used_per_day,avg_gas_used_per_transaction,total_transaction_fee,avg_transaction_fee_per_transaction,total_priority_fee,avg_priority_fee_per_transaction
2021-10-06,1687340,1637675683472906344917185,970566503178319926.581000273,759638030587,144565262979.03696,511956144794,303410.18691787071,217374566976169796,128826772894.71582,25179147103286973,14922390924.939238
2021-10-07,1817786,1800241962860418386314537,990348678480535325.013250735,995835557536,151847451926.79568,654976870779,360315.71966062009,235051285816887477,129306357193.24908,38624828404240815,21248281373.187393
2021-10-08,1735300,1932903970706404078314342,1113873088633898506.491293724,958733701699,125700996245.03551,639257934636,368384.67967267905,200744891502441894,115683104651.8999,25253554060473122,14552846228.590515
2021-10-09,1822572,1190534105889734465709957,653216501674410923.52453401,1007846493113,83170205746.310471,742525728483,407405.42951554176,146302118139217068,80272339385.888214,17596316140609780,9654661731.1194172
2021-10-10,1794122,1357765033537780292271964,756785231738856271.91013989,959064712972,83062824284.7565,684535748879,381543.5900563061,142811195511031631,79599489617.223145,19954562986045793,11122188449.863382
2021-10-11,1834918,1554860035201026287750394,847373035307859145.613261192,846612163415,112373120276.10471,554851552812,302384.93099528155,194189465813478527,105830051159.49515,24628212054074203,13421968749.597641
2021-10-12,1902413,1675810011766948165679212,880886543440855463.918303754,912247161441,94742657532.560379,616221566295,323915.76713100675,171558555374362323,90179448613.083664,23410408798527045,12305639626.372952
2021-10-13,1852540,1994444463137653810395956,1076599945554564981.266777505,924603131471,104283394291.31894,609869352143,329207.11679261987,185181137818443187,99960669037.345047,24786302089160712,13379631257.171619
2021-10-14,1850744,3158340260635940597633932,1706524652051251063.15834713,1024712248989,136765692872.33694,677926608459,366299.50358288345,239934288221858417,129642072713.38361,31853853492602889,17211377420.433559
2021-10-15,1862398,4895852988867178535772565,2628789866004569665.438088421,941234344347,145947572986.66949,645687410319,346696.7910827868,245256321368302114,131688458303.91899,43324246314304326,23262614282.395237
2021-10-16,1847011,1722453208679842320641544,932562507034252812.052307214,1102021483100,89266061741.259689,779906082034,422253.0791825279,159688472173110931,86457780799.95784,19438836703935465,10524483451.335949
2021-10-17,1865527,1178376450975839568268323,631658748962539576.360097174,974293597078,79691920393.57283,667158437864,357624.64861886215,145997040151427341,78260480899.728241,19615047082130724,10514480402.658726
2021-10-18,1845547,1615202390177778615375448,875188976589476515.838094614,958274305727,108729747960.71645,666098600340,360922.04660190176,180626633916473834,97871597914.58783,32732904292893287,17736153180.002075
2021-10-19,1936357,1833294062687544442025999,946774826484756913.12397404,896280695700,79459871741.193344,590575739532,304993.21123739064,148548188759934007,76715289980.067734,21560476542371892,11134556562.8507
